"state","total_jobs","fair_chance_jobs","fair_chance_rate"
"Alabama",1700,70,41.1764705882353
"Alaska",600,31,51.6666666666667
"Arizona",3000,75,25
"Arkansas",1300,50,38.4615384615385
"California",14000,500,35.7142857142857
"Colorado",7000,125,17.8571428571429
"Connecticut",3000,70,23.3333333333333
"Delaware",900,25,27.7777777777778
"Florida",13000,175,13.4615384615385
"Georgia",6000,150,25
"Hawaii",3000,73,24.3333333333333
"Idaho",1600,75,46.875
"Illinois",10000,150,15
"Indiana",6000,75,12.5
"Iowa",2000,75,37.5
"Kansas",1500,66,44
"Kentucky",1500,75,50
"Louisiana",1500,33,22
"Maine",1300,75,57.6923076923077
"Maryland",2900,50,17.2413793103448
"Massachusetts",9000,125,13.8888888888889
"Michigan",12000,150,12.5
"Minnesota",6000,125,20.8333333333333
"Mississippi",1300,25,19.2307692307692
"Missouri",6000,100,16.6666666666667
"Montana",1500,75,50
"Nebraska",1500,50,33.3333333333333
"Nevada",1500,41,27.3333333333333
"New Hampshire",1600,45,28.125
"New Jersey",4000,75,18.75
"New Mexico",1000,32,32
"New York",9000,275,30.5555555555556
"North Carolina",7000,125,17.8571428571429
"North Dakota",900,43,47.7777777777778
"Ohio",7000,250,35.7142857142857
"Oklahoma",2800,46,16.4285714285714
"Oregon",3000,75,25
"Pennsylvania",15000,275,18.3333333333333
"Rhode Island",1300,33,25.3846153846154
"South Carolina",3000,75,25
"South Dakota",1000,35,35
"Tennessee",4000,125,31.25
"Texas",13000,275,21.1538461538462
"Utah",1500,35,23.3333333333333
"Vermont",900,48,53.3333333333333
"Virginia",5000,150,30
"Washington",3000,125,41.6666666666667
"West Virginia",900,40,44.4444444444444
"Wisconsin",4000,175,43.75
"Wyoming",500,26,52
