State,Category
Alabama,Judicial Certificates (11)
Arizona,Judicial Certificates (11)
California,Judicial Certificates (11)
Colorado,Judicial Certificates (11)
Illinois,Judicial Certificates (11)
Louisiana,Judicial Certificates (11)
New Mexico,Judicial Certificates (11)
North Carolina,Judicial Certificates (11)
Tennessee,Judicial Certificates (11)
Vermont,Judicial Certificates (11)
Washington,Judicial Certificates (11)
Connecticut,Correctional Certificates (7)
Georgia,Correctional Certificates (7)
Iowa,Correctional Certificates (7)
Kentucky,Correctional Certificates (7)
Maryland,Correctional Certificates (7)
Michigan,Correctional Certificates (7)
Rhode Island,Correctional Certificates (7)
New Jersey,Both (3)
New York,Both (3)
Ohio,Both (3)
